model,threshold,count,accuracy,mean_confidence
CatBoost_baseline,0.5,0,,
CatBoost_baseline,0.55,0,,
CatBoost_baseline,0.6,0,,
CatBoost_baseline,0.65,0,,
CatBoost_baseline,0.7,0,,
CatBoost_baseline,0.75,0,,
CatBoost_baseline,0.8,0,,
CatBoost_baseline,0.85,0,,
CatBoost_baseline,0.9,0,,
CatBoost_T0.15,0.5,163,0.6134969325153374,0.6127615742738233
CatBoost_T0.15,0.55,110,0.6181818181818182,0.6552512511357576
CatBoost_T0.15,0.6,71,0.6197183098591549,0.698642638046136
CatBoost_T0.15,0.65,49,0.6326530612244898,0.7308493959004576
CatBoost_T0.15,0.7,37,0.7297297297297297,0.7479017024626836
CatBoost_T0.15,0.75,17,0.8235294117647058,0.7758807228753528
CatBoost_T0.15,0.8,2,1.0,0.8080032892334411
CatBoost_T0.15,0.85,0,,
CatBoost_T0.15,0.9,0,,
