bin,confidence_min,confidence_max,count,mean_confidence,accuracy,gap,model
1,0.0,0.1,0,,,,CatBoost_baseline
2,0.1,0.2,0,,,,CatBoost_baseline
3,0.2,0.30000000000000004,0,,,,CatBoost_baseline
4,0.30000000000000004,0.4,267,0.36158186376909957,0.5280898876404494,0.16650802387134983,CatBoost_baseline
5,0.4,0.5,11,0.40277939602069635,0.8181818181818182,0.4154024221611219,CatBoost_baseline
6,0.5,0.6000000000000001,0,,,,CatBoost_baseline
7,0.6000000000000001,0.7000000000000001,0,,,,CatBoost_baseline
8,0.7000000000000001,0.8,0,,,,CatBoost_baseline
9,0.8,0.9,0,,,,CatBoost_baseline
10,0.9,1.0,0,,,,CatBoost_baseline
1,0.0,0.1,0,,,,CatBoost_T0.15
2,0.1,0.2,0,,,,CatBoost_T0.15
3,0.2,0.30000000000000004,0,,,,CatBoost_T0.15
4,0.30000000000000004,0.4,23,0.38348164633912657,0.21739130434782608,0.1660903419913005,CatBoost_T0.15
5,0.4,0.5,92,0.4459222433254406,0.4891304347826087,0.04320819145716809,CatBoost_T0.15
6,0.5,0.6000000000000001,92,0.5464837967973645,0.6086956521739131,0.06221185537654861,CatBoost_T0.15
7,0.6000000000000001,0.7000000000000001,34,0.6450371855928342,0.5,0.14503718559283418,CatBoost_T0.15
8,0.7000000000000001,0.8,35,0.7444673260757831,0.7142857142857143,0.03018161179006884,CatBoost_T0.15
9,0.8,0.9,2,0.8080032892334411,1.0,0.1919967107665589,CatBoost_T0.15
10,0.9,1.0,0,,,,CatBoost_T0.15
