iterations,depth,learning_rate,l2_leaf_reg,random_strength,bagging_temperature,best_iteration,validation_accuracy,validation_log_loss,elapsed_seconds
300,7,0.05,7,1.0,1.0,118,0.4714828897338403,1.015964457728649,2.5
500,7,0.05,7,1.0,1.0,118,0.4714828897338403,1.015964457728649,2.43
800,7,0.05,7,1.0,1.0,118,0.4714828897338403,1.015964457728649,2.48
300,6,0.05,7,0.5,1.0,106,0.49049429657794674,1.017455567809485,1.29
500,6,0.05,7,0.5,1.0,106,0.49049429657794674,1.017455567809485,1.34
800,6,0.05,7,0.5,1.0,106,0.49049429657794674,1.017455567809485,1.23
300,6,0.05,3,0.5,1.0,113,0.49429657794676807,1.0176281457835346,1.28
500,6,0.05,3,0.5,1.0,113,0.49429657794676807,1.0176281457835346,1.34
800,6,0.05,3,0.5,1.0,113,0.49429657794676807,1.0176281457835346,1.3
300,7,0.05,3,1.0,1.0,135,0.45627376425855515,1.0181798903614134,2.64
500,7,0.05,3,1.0,1.0,135,0.45627376425855515,1.0181798903614134,2.68
800,7,0.05,3,1.0,1.0,135,0.45627376425855515,1.0181798903614134,3.12
300,5,0.03,3,1.0,0.5,281,0.4752851711026616,1.018617890509894,1.34
500,5,0.03,3,1.0,0.5,281,0.4752851711026616,1.018617890509894,1.54
800,5,0.03,3,1.0,0.5,281,0.4752851711026616,1.018617890509894,1.53
300,5,0.05,3,0.5,1.0,156,0.4790874524714829,1.0192857557491999,1.02
500,5,0.05,3,0.5,1.0,156,0.4790874524714829,1.0192857557491999,0.94
800,5,0.05,3,0.5,1.0,156,0.4790874524714829,1.0192857557491999,0.94
300,7,0.05,3,1.0,0.5,92,0.49809885931558934,1.019431599228673,2.07
500,7,0.05,3,1.0,0.5,92,0.49809885931558934,1.019431599228673,2.09
800,7,0.05,3,1.0,0.5,92,0.49809885931558934,1.019431599228673,2.07
300,5,0.05,7,0.5,1.0,159,0.4714828897338403,1.0203838695489749,0.95
500,5,0.05,7,0.5,1.0,159,0.4714828897338403,1.0203838695489749,0.98
800,5,0.05,7,0.5,1.0,159,0.4714828897338403,1.0203838695489749,0.95
300,7,0.05,3,0.5,0.5,140,0.4790874524714829,1.0206113777605237,2.77
500,7,0.05,3,0.5,0.5,140,0.4790874524714829,1.0206113777605237,2.77
800,7,0.05,3,0.5,0.5,140,0.4790874524714829,1.0206113777605237,2.85
500,5,0.03,7,1.0,0.5,303,0.4752851711026616,1.0209769715597077,1.63
800,5,0.03,7,1.0,0.5,303,0.4752851711026616,1.0209769715597077,1.61
300,6,0.03,3,0.5,1.0,173,0.4866920152091255,1.02106894188967,1.75
500,6,0.03,3,0.5,1.0,173,0.4866920152091255,1.02106894188967,1.78
800,6,0.03,3,0.5,1.0,173,0.4866920152091255,1.02106894188967,1.75
300,7,0.05,7,1.0,0.5,128,0.4752851711026616,1.0213228662034635,2.6
500,7,0.05,7,1.0,0.5,128,0.4752851711026616,1.0213228662034635,2.61
800,7,0.05,7,1.0,0.5,128,0.4752851711026616,1.0213228662034635,2.6
300,5,0.03,7,1.0,0.5,295,0.4714828897338403,1.0216924324835601,1.34
300,7,0.03,3,1.0,1.0,135,0.46387832699619774,1.021967622096946,2.67
500,7,0.03,3,1.0,1.0,135,0.46387832699619774,1.021967622096946,2.68
800,7,0.03,3,1.0,1.0,135,0.46387832699619774,1.021967622096946,2.74
300,6,0.05,3,1.0,1.0,108,0.4828897338403042,1.021989397314769,1.26
