feature,mi
home_average_accurate_passes,0.07129431199103453
away_ball_possession,0.06087767884550499
away_average_possession,0.055394814375500756
accurate_passes_difference,0.05329639834990152
total_passes_difference,0.05323614012275457
away_average_accurate_passes,0.052118528777959305
home_pass_accuracy,0.05068658020619132
pass_accuracy_difference,0.04938059620479396
possession_difference,0.04786285096687104
away_shot_accuracy_percentage,0.04688353294884684
away_average_total_passes,0.045660472950276754
total_shots_difference,0.04242493052483631
goals_for_difference,0.040835630171908166
high_accuracy_difference,0.03817863048680281
home_average_total_passes,0.038129708408174645
points_difference,0.03747680271400511
away_pass_accuracy,0.03720243985117455
home_average_pass_accuracy,0.03634732732361501
shots_on_goal_difference,0.03563143427034143
home_average_total_shots,0.034538701385985915
home_points_per_match,0.034262468432169735
away_average_pass_accuracy,0.03296068908021432
away_average_goals_for,0.03213005421514459
home_average_shots_on_goal,0.03135789559796831
shot_accuracy_difference,0.02902879645861134
home_clean_sheet_percentage,0.02870476404846123
home_home_points,0.028258432948419454
away_save_percentage,0.02681814103205027
similarity_average_pass_accuracy,0.025798243661354858
home_average_saves,0.025274671419701855
home_average_goals_for,0.02521647670894911
away_shots_per_goal,0.02516691523523007
away_average_total_shots,0.025051912340195548
goals_against_difference,0.02489384877864831
away_possession_above_50_percentage,0.024566942340181086
draw_shots_balance,0.024316424297283312
away_clean_sheet_percentage,0.024101571537121336
pass_accuracy_closeness,0.023410675302868666
home_highest_possession,0.022426658337378447
save_percentage_difference,0.022139327842621626
similarity_save_percentage,0.021863273598661914
similarity_average_total_shots,0.021554357167706373
home_save_percentage,0.021326326018922925
home_shots_on_goal,0.02022444994545225
away_average_saves,0.019006744093795103
home_average_goals_against,0.01880629336386641
away_goalkeeper_matches,0.018667808955856735
home_goal_conversion_percentage,0.01770914199276641
home_average_possession,0.017416011695285727
home_above_85_accuracy_percentage,0.016821622801660885
home_ball_possession,0.016784739991738462
away_goal_conversion_percentage,0.01609186756061609
away_average_shots_on_goal,0.015551823549346144
away_average_goals_against,0.014029858630781877
home_average_goals_conceded_gk,0.013170429669241646
goal_conversion_difference,0.012997050985401604
draw_defense_similarity,0.012847804269804586
shots_per_goal_difference,0.012548651022980195
away_away_goals,0.012068025156052986
home_possession_above_50_percentage,0.010625643547294006
away_average_goals_conceded_gk,0.010072259740767864
away_shooting_matches,0.009409206763094868
home_home_goals,0.009294232269393188
draw_low_points_difference,0.008126616159633615
home_pass_matches,0.00796739574204075
away_shots_on_goal,0.007141795454004507
home_shots_per_goal,0.006834549674493706
attack_closeness,0.0061616533958968045
draw_passes_balance,0.005809291809955486
clean_sheet_difference,0.005393647650516531
away_points_per_match,0.004957414532599014
home_shooting_matches,0.0049530338056908985
home_shot_accuracy_percentage,0.004870948021761912
similarity_average_goals_against,0.004446251688788649
draw_goals_against_balance,0.004167455446451029
away_away_points,0.0035200872102778558
away_above_85_accuracy_percentage,0.002162781121760382
draw_possession_balance,0.002036407874629109
home_rest_days,0.0
away_highest_possession,0.0
home_possession_matches,0.0
away_rest_days,0.0
away_pass_matches,0.0
away_possession_matches,0.0
possession_closeness,0.0
home_goalkeeper_matches,0.0
goals_for_closeness,0.0
points_closeness,0.0
saves_difference,0.0
draw_attack_similarity,0.0
similarity_average_shots_on_goal,0.0
similarity_average_possession,0.0
similarity_average_goals_for,0.0
similarity_points_per_match,0.0
draw_points_similarity,0.0
draw_possession_centered,0.0
draw_sot_balance,0.0
draw_overall_similarity,0.0
draw_goals_for_balance,0.0
draw_accurate_passes_balance,0.0
draw_low_goals_difference,0.0
draw_low_shots_difference,0.0
draw_low_possession_difference,0.0
draw_strength_attack_balance,0.0
draw_game_balance,0.0
draw_balance_score,0.0
