fold,draw_weight,fixture_id,kickoff,home_team_id,away_team_id,actual,prediction,p_home,p_draw,p_away,confidence,best_iteration,features_count,correct,max_non_draw,draw_rank
Fold 3,1.0,1352,2025-05-11 13:00:00,71,76,D,D,0.3687202722575775,0.4131046691739727,0.2181750585684496,0.4131046691739727,273,60,True,0.3687202722575775,1.0
Fold 3,1.0,1345,2025-05-04 18:45:00,68,65,D,D,0.3878786833356064,0.388261431309627,0.2238598853547665,0.388261431309627,273,60,True,0.3878786833356064,1.0
Fold 3,1.0,995,2025-05-22 18:30:00,54,58,D,D,0.3631792735296298,0.364492327816467,0.272328398653903,0.364492327816467,273,60,True,0.3631792735296298,1.0
Fold 3,1.0,971,2025-05-03 13:30:00,55,43,D,A,0.1779003267985922,0.3452828074410993,0.4768168657603085,0.4768168657603085,273,60,False,0.4768168657603085,2.0
Fold 3,1.0,307,2025-05-21 18:00:00,37,30,D,A,0.2669421307599218,0.3432531627656833,0.3898047064743949,0.3898047064743949,273,60,False,0.3898047064743949,2.0
Fold 3,1.0,975,2025-05-04 15:30:00,41,48,D,A,0.2109429517214094,0.3427012373299626,0.4463558109486277,0.4463558109486277,273,60,False,0.4463558109486277,2.0
Fold 3,1.0,1713,2025-05-04 14:15:00,85,86,D,H,0.4481218282804768,0.339556360607893,0.2123218111116301,0.4481218282804768,273,60,False,0.4481218282804768,2.0
Fold 3,1.0,667,2025-05-11 13:15:00,19,10,D,H,0.4941217467016496,0.3393066487721479,0.1665716045262025,0.4941217467016496,273,60,False,0.4941217467016496,2.0
Fold 2,1.0,1312,2025-04-13 13:00:00,69,75,D,H,0.4086679578021616,0.3276966741451913,0.2636353680526471,0.4086679578021616,44,60,False,0.4086679578021616,2.0
Fold 1,1.0,883,2025-02-15 17:30:00,48,40,D,A,0.2535937896059255,0.3273655685658654,0.4190406418282091,0.4190406418282091,48,60,False,0.4190406418282091,2.0
Fold 3,1.0,1751,2025-05-24 19:00:00,90,96,D,A,0.3150870041059225,0.3239033111517362,0.3610096847423413,0.3610096847423413,273,60,False,0.3610096847423413,2.0
Fold 2,1.0,256,2025-04-12 19:05:00,32,27,D,H,0.3988633578159297,0.3188728802740774,0.2822637619099928,0.3988633578159297,44,60,False,0.3988633578159297,2.0
Fold 2,1.0,1665,2025-03-31 19:00:00,87,84,D,H,0.4739581463428548,0.3162294129824621,0.209812440674683,0.4739581463428548,44,60,False,0.4739581463428548,2.0
Fold 3,1.0,651,2025-05-03 14:00:00,9,18,D,H,0.4422835794772804,0.3129168444955978,0.2447995760271217,0.4422835794772804,273,60,False,0.4422835794772804,2.0
Fold 3,1.0,976,2025-05-04 17:30:00,45,49,D,A,0.3272846009897054,0.311675112146802,0.3610402868634925,0.3610402868634925,273,60,False,0.3610402868634925,3.0
Fold 1,1.0,893,2025-02-23 14:30:00,52,54,D,H,0.4738287173247114,0.3091870903007465,0.216984192374542,0.4738287173247114,48,60,False,0.4738287173247114,2.0
Fold 3,1.0,658,2025-05-05 19:00:00,16,19,D,H,0.3862215606402529,0.3023363515657718,0.3114420877939752,0.3862215606402529,273,60,False,0.3862215606402529,3.0
Fold 1,1.0,1234,2025-02-09 19:45:00,62,63,D,H,0.4108539549990102,0.3020916815283809,0.2870543634726089,0.4108539549990102,48,60,False,0.4108539549990102,2.0
Fold 2,1.0,608,2025-04-05 11:30:00,9,8,D,A,0.327625057734222,0.2982272052432149,0.374147737022563,0.374147737022563,44,60,False,0.374147737022563,3.0
Fold 1,1.0,872,2025-02-08 14:30:00,45,50,D,H,0.4044432744992702,0.2971349739618215,0.2984217515389081,0.4044432744992702,48,60,False,0.4044432744992702,3.0
Fold 3,1.0,1363,2025-05-18 18:45:00,72,59,D,H,0.5268228724915847,0.2957179506677249,0.1774591768406904,0.5268228724915847,273,60,False,0.5268228724915847,2.0
Fold 3,1.0,984,2025-05-11 15:30:00,49,56,D,H,0.4998257978946322,0.29430943465243,0.2058647674529376,0.4998257978946322,273,60,False,0.4998257978946322,2.0
Fold 1,1.0,878,2025-02-14 19:30:00,50,52,D,A,0.3361403076488692,0.2931617179758317,0.3706979743752991,0.3706979743752991,48,60,False,0.3706979743752991,3.0
Fold 2,1.0,1301,2025-04-06 10:30:00,76,74,D,H,0.3863521141227531,0.2927190697362126,0.3209288161410342,0.3863521141227531,44,60,False,0.3863521141227531,3.0
Fold 1,1.0,866,2025-02-01 17:30:00,55,52,D,A,0.3090578188343684,0.2916911367703055,0.3992510443953261,0.3992510443953261,48,60,False,0.3992510443953261,3.0
Fold 1,1.0,1222,2025-02-02 17:00:00,60,72,D,A,0.260095235720288,0.2910228761020851,0.4488818881776268,0.4488818881776268,48,60,False,0.4488818881776268,2.0
Fold 2,1.0,1313,2025-04-13 13:00:00,71,64,D,A,0.3007548906512103,0.2900812419281517,0.4091638674206377,0.4091638674206377,44,60,False,0.4091638674206377,3.0
Fold 2,1.0,1649,2025-03-15 20:00:00,93,82,D,H,0.3990550519909743,0.2899586775814567,0.3109862704275689,0.3990550519909743,44,60,False,0.3990550519909743,3.0
Fold 2,1.0,1675,2025-04-07 19:00:00,86,96,D,A,0.344424500595263,0.2894167485141816,0.3661587508905555,0.3661587508905555,44,60,False,0.3661587508905555,3.0
Fold 2,1.0,1315,2025-04-13 18:45:00,59,66,D,A,0.3506879525716774,0.2891845891984297,0.3601274582298929,0.3601274582298929,44,60,False,0.3601274582298929,3.0
Fold 2,1.0,1674,2025-04-06 19:00:00,83,81,D,A,0.3319448003382802,0.2888474707631881,0.3792077288985316,0.3792077288985316,44,60,False,0.3792077288985316,3.0
Fold 1,1.0,1611,2025-02-15 20:00:00,83,82,D,H,0.4679495775744802,0.2869246331803847,0.245125789245135,0.4679495775744802,48,60,False,0.4679495775744802,2.0
Fold 2,1.0,609,2025-04-05 14:00:00,12,3,D,A,0.3235209762706298,0.2867305024786531,0.389748521250717,0.389748521250717,44,60,False,0.389748521250717,3.0
Fold 2,1.0,1302,2025-04-06 13:00:00,70,71,D,H,0.476797734410947,0.286378930552485,0.2368233350365679,0.476797734410947,44,60,False,0.476797734410947,2.0
