fold,draw_weight,fixture_id,kickoff,home_team_id,away_team_id,actual,prediction,p_home,p_draw,p_away,confidence,best_iteration,features_count,correct
Fold 3,1.0,1737,2025-05-18 17:00:00,79,83,A,H,0.826303313704484,0.0939639041442031,0.0797327821513128,0.826303313704484,273,60,False
Fold 3,1.0,684,2025-05-25 15:00:00,6,16,D,H,0.7461597941044543,0.1570131678316437,0.0968270380639019,0.7461597941044543,273,60,False
Fold 3,1.0,661,2025-05-10 14:00:00,7,14,D,A,0.1288934120821655,0.1527163765830693,0.7183902113347651,0.7183902113347651,273,60,False
Fold 3,1.0,1726,2025-05-11 19:00:00,91,96,D,H,0.6802427766388969,0.208850303118508,0.1109069202425951,0.6802427766388969,273,60,False
Fold 3,1.0,1369,2025-05-24 16:00:00,68,64,A,H,0.6670666620217859,0.1958583967170186,0.1370749412611954,0.6670666620217859,273,60,False
Fold 3,1.0,680,2025-05-25 15:00:00,2,9,A,H,0.6648730664805694,0.207495952897219,0.1276309806222115,0.6648730664805694,273,60,False
Fold 2,1.0,1668,2025-04-05 14:15:00,89,82,A,H,0.6568347288674283,0.1885532448123076,0.1546120263202639,0.6568347288674283,44,60,False
Fold 1,1.0,184,2025-02-08 18:00:00,22,36,A,H,0.6461367586549654,0.2102033427721749,0.1436598985728595,0.6461367586549654,48,60,False
Fold 3,1.0,1362,2025-05-18 18:45:00,71,77,D,A,0.1557635877372945,0.2001296119626296,0.6441068003000759,0.6441068003000759,273,60,False
Fold 3,1.0,1371,2025-05-25 18:45:00,59,76,A,H,0.6429161504118651,0.191064087523867,0.1660197620642677,0.6429161504118651,273,60,False
Fold 2,1.0,1670,2025-04-05 19:00:00,79,91,D,H,0.6402280306088085,0.2017754236004969,0.1579965457906946,0.6402280306088085,44,60,False
Fold 1,1.0,1258,2025-03-01 14:00:00,67,74,D,H,0.6321967143244683,0.2161288892271797,0.1516743964483518,0.6321967143244683,48,60,False
Fold 1,1.0,1237,2025-02-15 14:00:00,67,61,D,H,0.6286145483156164,0.2158097055221757,0.1555757461622079,0.6286145483156164,48,60,False
Fold 3,1.0,1373,2025-05-25 18:45:00,67,75,A,H,0.6277219763314495,0.2251284617429666,0.1471495619255838,0.6277219763314495,273,60,False
Fold 3,1.0,1351,2025-05-11 10:30:00,63,78,A,H,0.6265793076476585,0.2132150937177436,0.1602055986345978,0.6265793076476585,273,60,False
Fold 2,1.0,1288,2025-03-29 14:00:00,77,73,D,H,0.6227742060064857,0.2159670548796535,0.1612587391138607,0.6227742060064857,44,60,False
Fold 3,1.0,1354,2025-05-11 18:45:00,62,64,D,H,0.617922673924237,0.2555052927556144,0.1265720333201484,0.617922673924237,273,60,False
Fold 2,1.0,944,2025-04-12 13:30:00,48,55,D,H,0.6152054959554437,0.2106230019862034,0.1741715020583528,0.6152054959554437,44,60,False
Fold 3,1.0,653,2025-05-03 16:30:00,8,3,A,H,0.6065065393824927,0.258975163109379,0.1345182975081282,0.6065065393824927,273,60,False
Fold 2,1.0,625,2025-04-13 13:00:00,13,18,D,H,0.6055220306467161,0.2355454235782685,0.1589325457750154,0.6055220306467161,44,60,False
Fold 3,1.0,282,2025-05-03 17:00:00,33,31,H,A,0.2188327101225488,0.1799135399465548,0.6012537499308964,0.6012537499308964,273,60,False
Fold 2,1.0,244,2025-04-04 18:45:00,27,26,A,H,0.5989202758651727,0.2266165649621087,0.1744631591727185,0.5989202758651727,44,60,False
Fold 1,1.0,565,2025-02-22 15:00:00,8,12,A,H,0.5940453985546906,0.2463906173295696,0.1595639841157396,0.5940453985546906,48,60,False
Fold 2,1.0,953,2025-04-19 13:30:00,52,57,D,H,0.5933112536890932,0.2325143461537904,0.1741744001571163,0.5933112536890932,44,60,False
Fold 2,1.0,620,2025-04-12 14:00:00,15,10,D,H,0.591126211604209,0.2244596104843113,0.1844141779114796,0.591126211604209,44,60,False
Fold 1,1.0,889,2025-02-22 14:30:00,44,50,A,H,0.5883081595545849,0.2326306699573835,0.1790611704880316,0.5883081595545849,48,60,False
Fold 3,1.0,304,2025-05-17 19:00:00,32,36,A,H,0.5831701600295982,0.2945953244584756,0.1222345155119262,0.5831701600295982,273,60,False
Fold 3,1.0,970,2025-05-03 13:30:00,52,40,D,A,0.1894558202534373,0.2339839172202454,0.5765602625263173,0.5765602625263173,273,60,False
Fold 3,1.0,1715,2025-05-04 19:00:00,94,81,D,A,0.2412430465177726,0.1827840643792916,0.5759728891029358,0.5759728891029358,273,60,False
Fold 2,1.0,947,2025-04-12 16:30:00,40,46,D,H,0.5708980787904153,0.2290538066895174,0.2000481145200673,0.5708980787904153,44,60,False
