fold,fixture_id,actual,cat_prediction,cat_p_home,cat_p_draw,cat_p_away,hybrid_prediction,hybrid_p_home,hybrid_p_draw,hybrid_p_away,cat_correct,hybrid_correct,changed
Fold 1,543,H,A,0.3420183435981825,0.2505697969117125,0.407411859490105,A,0.3523783247322343,0.247479631068457,0.4001420441993086,False,False,False
Fold 1,866,D,A,0.3090578188343684,0.2916911367703055,0.3992510443953261,A,0.311028427085831,0.2810732893080787,0.4078982836060903,False,False,False
Fold 1,1590,H,H,0.5756335979026184,0.2482598968542657,0.1761065052431158,H,0.5678236617551174,0.2427119680385993,0.1894643702062832,True,True,False
Fold 1,174,H,H,0.5786721712307734,0.2112523623224838,0.2100754664467428,H,0.5542494508615143,0.2168118824461786,0.2289386666923071,True,True,False
Fold 1,1219,H,H,0.4047814854101482,0.3244771329566925,0.2707413816331592,H,0.42052219395956,0.3014382713522492,0.2780395346881908,True,True,False
Fold 1,1591,H,A,0.2274686274640258,0.2437314500707598,0.5287999224652142,A,0.2110005323217713,0.2365586024211975,0.5524408652570312,False,False,False
Fold 1,175,H,H,0.6022388477289616,0.2283877660823102,0.1693733861887282,H,0.5804176406799278,0.2330348473518918,0.1865475119681802,True,True,False
Fold 1,1220,H,H,0.624344768426376,0.2065275879992281,0.1691276435743958,H,0.5806434772341258,0.2189971258943554,0.2003593968715188,True,True,False
Fold 1,1592,H,H,0.6291480018503022,0.1981752691534117,0.172676728996286,H,0.6174933376650754,0.2009262024308798,0.1815804599040448,True,True,False
Fold 1,176,D,A,0.3551454643232059,0.2676345701562912,0.3772199655205029,A,0.3404709311496701,0.2639881041676122,0.3955409646827177,False,False,False
Fold 1,544,A,H,0.4461939633081239,0.2491538944592229,0.3046521422326531,H,0.405612549776653,0.2532982703922533,0.3410891798310936,False,False,False
Fold 1,545,A,H,0.4082291038940918,0.2957572050538887,0.2960136910520193,H,0.4005176313721552,0.2774165338176291,0.3220658348102157,False,False,False
Fold 1,1221,H,H,0.5070185786921756,0.255188081072401,0.2377933402354233,H,0.4953662181651512,0.2565440311538304,0.2480897506810182,True,True,False
Fold 1,867,D,H,0.4849840446573796,0.241882668202344,0.2731332871402762,H,0.4549853000887905,0.2418912030309989,0.3031234968802105,False,False,False
Fold 1,1593,H,A,0.3297097755664421,0.2553445700245595,0.4149456544089982,A,0.3393770185404228,0.2520065354780012,0.408616445981576,False,False,False
Fold 1,177,D,H,0.4997624369430257,0.2635955001506559,0.2366420629063183,H,0.4987695685472215,0.2594234871484944,0.2418069443042841,False,False,False
Fold 1,178,A,H,0.4692802546730335,0.2692576735436275,0.2614620717833389,H,0.4619490193754713,0.2649920206129585,0.27305896001157,False,False,False
