fold,fixture_id,actual,cat_prediction,cat_p_home,cat_p_draw,cat_p_away,hybrid_prediction,hybrid_p_home,hybrid_p_draw,hybrid_p_away,cat_correct,hybrid_correct,changed,result
Fold 1,1223,D,H,0.3940161415905294,0.2427409635168521,0.3632428948926185,A,0.3575908071289909,0.2425816827269382,0.3998275101440709,False,False,True,BOTH_WRONG
Fold 1,876,D,A,0.3693391541146996,0.2505741876954582,0.3800866581898421,H,0.4088219207469126,0.2428443444609475,0.3483337347921398,False,False,True,BOTH_WRONG
Fold 1,1608,D,H,0.3664977701853912,0.2780843045399298,0.3554179252746788,A,0.3527732488802864,0.2713721956557726,0.3758545554639409,False,False,True,BOTH_WRONG
Fold 1,553,A,H,0.3762900161698604,0.2723557613943488,0.3513542224357908,A,0.3500950908111217,0.2624724966808067,0.3874324125080715,False,True,True,HYBRID_FIXED
Fold 1,1238,D,H,0.3856407387271325,0.249547728716163,0.3648115325567044,A,0.3621849078746003,0.2483668928862213,0.3894481992391783,False,False,True,BOTH_WRONG
Fold 1,564,A,H,0.3812076297535904,0.2576375997120532,0.3611547705343563,A,0.3472689687192846,0.2488253112456739,0.4039057200350414,False,True,True,HYBRID_FIXED
Fold 1,1619,A,H,0.3784728251096843,0.2953949768802849,0.3261321980100307,A,0.353353055791523,0.2827159911344398,0.3639309530740371,False,True,True,HYBRID_FIXED
Fold 1,201,D,H,0.3877543684792177,0.2541571142597747,0.3580885172610076,A,0.3592292147859294,0.2520388772401978,0.3887319079738728,False,False,True,BOTH_WRONG
Fold 1,569,A,H,0.3957654328098014,0.2791526570768848,0.3250819101133137,A,0.3664893448330818,0.2632769540972864,0.3702337010696317,False,True,True,HYBRID_FIXED
Fold 2,231,A,A,0.3432239669927923,0.2877585790501442,0.3690174539570635,H,0.3652017379641409,0.2759065570028853,0.3588917050329738,True,False,True,HYBRID_BROKE
Fold 2,927,D,H,0.3724716477196769,0.2804744810648589,0.3470538712154641,A,0.3424427345502356,0.272942586636615,0.3846146788131492,False,False,True,BOTH_WRONG
Fold 2,928,A,A,0.3520812729991621,0.294511124837836,0.3534076021630018,H,0.3711010570660173,0.2741754153712643,0.3547235275627182,True,False,True,HYBRID_BROKE
Fold 2,1294,H,A,0.3458200658648124,0.2982566297739983,0.3559233043611892,H,0.3823818625436523,0.2849770291619078,0.3326411082944399,False,True,True,HYBRID_FIXED
Fold 2,1672,A,H,0.3815193066432297,0.2770225259163415,0.3414581674404288,A,0.357941098639323,0.2701381927283126,0.3719207086323643,False,True,True,HYBRID_FIXED
Fold 2,940,H,H,0.3772980634334077,0.2911182780887399,0.3315836584778523,A,0.3492647374121049,0.2760128010363789,0.3747224615515161,True,False,True,HYBRID_BROKE
Fold 2,1675,D,A,0.344424500595263,0.2894167485141816,0.3661587508905555,H,0.3757826936903959,0.2796171849086692,0.3446001214009348,False,False,True,BOTH_WRONG
Fold 2,945,A,H,0.378593030270171,0.2774430847885569,0.3439638849412721,A,0.3618524045103356,0.2725867353247784,0.3655608601648859,False,True,True,HYBRID_FIXED
Fold 2,628,H,A,0.3403267074810746,0.2882234391944937,0.3714498533244317,H,0.3640644323092238,0.2758654346871981,0.360070133003578,False,True,True,HYBRID_FIXED
Fold 3,655,D,H,0.3892109361959094,0.2338166700650167,0.3769723937390737,A,0.3649815600200043,0.2349441201245016,0.4000743198554941,False,False,True,BOTH_WRONG
Fold 3,1345,D,D,0.3878786833356064,0.388261431309627,0.2238598853547665,H,0.4037854761901721,0.3487993705543933,0.2474151532554346,True,False,True,HYBRID_BROKE
Fold 3,295,H,H,0.4009169265012573,0.1992148604415169,0.3998682130572257,A,0.389015726223703,0.2171961134184068,0.3937881603578901,True,False,True,HYBRID_BROKE
Fold 3,307,D,A,0.2669421307599218,0.3432531627656833,0.3898047064743949,H,0.4604347277890731,0.2583146550797722,0.2812506171311548,False,False,True,BOTH_WRONG
Fold 3,995,D,D,0.3631792735296298,0.364492327816467,0.272328398653903,A,0.2683911268333612,0.3011792717629972,0.4304296014036416,True,False,True,HYBRID_BROKE
Fold 3,688,A,A,0.3531517204523505,0.2812309455169833,0.3656173340306661,H,0.3636225168769114,0.2770980122052168,0.3592794709178716,True,False,True,HYBRID_BROKE
Fold 3,308,A,H,0.4477069153711423,0.3024985443310085,0.2497945402978492,A,0.3310195875219286,0.2677879814592544,0.4011924310188169,False,True,True,HYBRID_FIXED
Fold 3,3129,H,D,0.3553706141546727,0.3755705984894956,0.2690587873558316,H,0.3517549719714695,0.3509224806092851,0.2973225474192453,False,True,True,HYBRID_FIXED
Fold 3,3131,D,A,0.2718774508834757,0.2537792454007671,0.4743433037157572,H,0.4540540292777845,0.2001919282230201,0.3457540424991954,False,False,True,BOTH_WRONG
Fold 3,3132,H,H,0.3957724042816677,0.375716991172419,0.2285106045459132,A,0.2945221274256696,0.3203074714932812,0.3851704010810492,True,False,True,HYBRID_BROKE
