alpha,fold,period,matches,accuracy,logloss,draw_precision,draw_recall,draw_f1
0.1,Fold 1,validation,93,0.44086021505376344,1.040599363873727,0.0,0.0,0.0
0.1,Fold 1,test,185,0.5837837837837838,0.9903824558184424,0.0,0.0,0.0
0.1,Fold 2,validation,93,0.4731182795698925,1.053916225056461,0.0,0.0,0.0
0.1,Fold 2,test,185,0.5297297297297298,0.997174104076784,0.0,0.0,0.0
0.1,Fold 3,validation,93,0.5268817204301075,0.9963306233464351,0.0,0.0,0.0
0.1,Fold 3,test,185,0.4864864864864865,1.0453290418935357,0.0,0.0,0.0
0.3,Fold 1,validation,93,0.46236559139784944,1.0412163964618149,0.0,0.0,0.0
0.3,Fold 1,test,185,0.572972972972973,0.9968929213479379,0.0,0.0,0.0
0.3,Fold 2,validation,93,0.46236559139784944,1.0515357683671154,0.0,0.0,0.0
0.3,Fold 2,test,185,0.5135135135135135,0.9990317528181141,0.0,0.0,0.0
0.3,Fold 3,validation,93,0.5161290322580645,0.9979761808572369,0.0,0.0,0.0
0.3,Fold 3,test,185,0.4810810810810811,1.024004121087824,0.0,0.0,0.0
1.0,Fold 1,validation,93,0.4731182795698925,1.0433164636512136,0.0,0.0,0.0
1.0,Fold 1,test,185,0.572972972972973,1.003255893850205,0.0,0.0,0.0
1.0,Fold 2,validation,93,0.4731182795698925,1.0519583650896769,0.0,0.0,0.0
1.0,Fold 2,test,185,0.5135135135135135,1.0045944527749524,0.0,0.0,0.0
1.0,Fold 3,validation,93,0.5483870967741935,1.00299134437839,0.0,0.0,0.0
1.0,Fold 3,test,185,0.4972972972972973,1.0179256397899141,0.0,0.0,0.0
